NAME,GEO_ID,total_population,female_population,median_gross_rent_in_dollars,median_household_income_past12months,male_bachelors_degree_25yrs_above,female_bachelors_degree_25yrs_above,state
"Alabama","0400000US01","5108468","2636667","982","62212","287724","328301","01"
"Alaska","0400000US02","733406","347551","1373","86631","47157","51934","02"
"Arizona","0400000US04","7431344","3722672","1608","77315","506424","544712","04"
"Arkansas","0400000US05","3067732","1555531","933","58700","158741","187095","05"
"California","0400000US06","38965193","19514495","1992","95521","2931813","3205853","06"
"Colorado","0400000US08","5877610","2897502","1771","92911","575244","594862","08"
"Connecticut","0400000US09","3617176","1841458","1463","91665","288134","303112","09"
"Delaware","0400000US10","1031890","532896","1358","81361","69012","84553","10"
"District of Columbia","0400000US11","678972","357382","1904","108210","65053","64898","11"
"Florida","0400000US12","22610726","11494151","1719","73311","1682689","1867491","12"
"Georgia","0400000US13","11029227","5650723","1400","74632","745072","840844","13"
"Hawaii","0400000US15","1435138","715998","1940","95322","109581","127647","15"
"Idaho","0400000US16","1964726","976269","1256","74942","133445","148354","16"
"Illinois","0400000US17","12549689","6352031","1238","80306","939525","1043956","17"
"Indiana","0400000US18","6862199","3450034","1044","69477","409699","472612","18"
"Iowa","0400000US19","3207004","1604691","949","71433","211114","241600","19"
"Kansas","0400000US20","2940547","1464046","1036","70333","213146","225819","20"
"Kentucky","0400000US21","4526154","2282464","929","61118","245064","261792","21"
"Louisiana","0400000US22","4573749","2337609","1020","58229","230496","295095","22"
"Maine","0400000US23","1395722","710596","1189","73733","108781","132873","23"
"Maryland","0400000US24","6180253","3180149","1651","98678","449664","514400","24"
"Massachusetts","0400000US25","7001399","3580213","1757","99858","604303","657544","25"
"Michigan","0400000US26","10037261","5071744","1101","69183","666557","728629","26"
"Minnesota","0400000US27","5737915","2867907","1264","85086","489563","533110","27"
"Mississippi","0400000US28","2939690","1514769","898","54203","130597","176618","28"
"Missouri","0400000US29","6196156","3139380","1019","68545","406559","453708","29"
"Montana","0400000US30","1132812","560233","1083","70804","86069","94278","30"
"Nebraska","0400000US31","1978379","985970","1042","74590","140686","158096","31"
"Nevada","0400000US32","3194176","1586682","1622","76364","207104","213901","32"
"New Hampshire","0400000US33","1402054","702176","1517","96838","123446","129696","33"
"New Jersey","0400000US34","9290841","4717692","1667","99781","809058","903625","34"
"New Mexico","0400000US35","2114371","1065826","1084","62268","120094","137337","35"
"New York","0400000US36","19571216","10019312","1561","82095","1523009","1613161","36"
"North Carolina","0400000US37","10835491","5523437","1245","70804","797201","921440","37"
"North Dakota","0400000US38","783926","383435","916","76525","55373","65832","38"
"Ohio","0400000US39","11785935","5972119","1014","67769","758613","819789","39"
"Oklahoma","0400000US40","4053824","2039136","1020","62138","231948","266895","40"
"Oregon","0400000US41","4233358","2128151","1481","80160","340864","375069","41"
"Pennsylvania","0400000US42","12961683","6572348","1197","73824","927248","994241","42"
"Rhode Island","0400000US44","1095962","560463","1365","84972","84574","97480","44"
"South Carolina","0400000US45","5373555","2768541","1170","67804","364177","401692","45"
"South Dakota","0400000US46","919318","451096","921","71810","66029","75054","46"
"Tennessee","0400000US47","7126489","3629494","1214","67631","444336","508159","47"
"Texas","0400000US48","30503301","15290157","1413","75780","2056596","2268270","48"
"Utah","0400000US49","3417734","1685987","1551","93421","249951","263614","49"
"Vermont","0400000US50","647464","324526","1202","81211","56005","62606","50"
"Virginia","0400000US51","8715698","4413602","1567","89931","673886","772874","51"
"Washington","0400000US53","7812880","3878903","1731","94605","653390","687577","53"
"West Virginia","0400000US54","1770071","887440","850","55948","82709","100032","54"
"Wisconsin","0400000US55","5910955","2951547","1071","74631","428232","486231","55"
"Wyoming","0400000US56","584057","288322","1000","72415","36681","41081","56"
"Puerto Rico","0400000US72","3205691","1686767","557","25621","206148","318308","72"
